seed,geometric_candidate,heldout_generalization_pass,moving_alpha,fixed_alpha,moving_minus_fixed_alpha,smallest_radius_fixed_over_moving,raw_dev_confirm_gradient_cosine,projected_dev_confirm_gradient_cosine
68726,True,True,0.8100232252202155,0.13863869121313696,0.6713845340070785,3.8034603500394777,0.12180497742506864,0.9960315836082391
68727,True,True,1.267698406359602,0.5728151405934723,0.6948832657661297,3.962286722131314,0.09433888249587019,0.9885999446474668
68728,True,True,1.3653631219780473,0.8071917524494983,0.5581713695285491,2.9119853589669678,0.45075971928915876,0.9927758430429351
68729,True,True,1.401643168112565,0.830302945769934,0.5713402223426309,2.9787802685991434,0.6440635554433958,0.9984563979206927
68730,True,True,1.555917522844335,0.9555173394972614,0.6004001833470736,3.130512421415013,0.36327897693356304,0.9957846389552133
68731,True,True,1.4436110320689157,0.8678036760604833,0.5758073560084325,2.999851501666415,0.6884218270163078,0.9983227699720242
68732,True,True,1.4915152420522426,0.9121232673089751,0.5793919747432675,3.018630068951107,0.5590436603105285,0.9987111822414115
68733,True,True,1.367902424718363,0.801458796449562,0.5664436282688011,2.9514555188011706,0.5892985606114086,0.9981503705948783
68734,True,True,1.6105018293731206,1.0494605842731461,0.5610412450999744,2.9148893507579534,0.28650101986887305,0.9804924170673404
68735,True,True,1.3170224172922953,0.6123760410049455,0.7046463762873498,4.033983292763978,0.12698896965432438,0.973193444554604
68736,True,True,1.3636408664643669,0.7892444231463507,0.5743964433180162,2.9940739633545355,0.7321030983792844,0.9965743667943816
68737,True,True,1.3698355893426097,0.8002650352770743,0.5695705540655355,2.9688842678532725,0.37786641578903746,0.9975750888677197
68738,True,True,1.265141745849807,0.7032129075064456,0.5619288383433615,2.9324539256195803,0.16196039074332647,0.9882977000583334
68739,True,True,1.256296826989135,0.6952376656319915,0.5610591613571435,2.92603789952703,0.15888828417521209,0.9824606199690717
68740,True,True,1.3210618212210055,0.6184101710556499,0.7026516501653556,4.019155746870296,0.7093375468173214,0.9988364872190285
68741,True,True,1.4410578190193177,0.8625721806330877,0.57848563838623,3.015341017031532,0.6926386985342282,0.9981581760433996
