seed,step,train_loss,response_rank,update_norm,actual_update_response_cost,response_budget,high_candidate,low_candidate,high_selection_utility,low_selection_utility,selection_contrast,high_response_cost,low_response_cost,response_cost_gap,high_gain,low_gain,causal_gain_contrast,high_final_eval_loss,low_final_eval_loss,random_a_gain,random_b_gain,random_control_contrast
90841,6,7.589484214782715,12,1.7151834964752197,0.00577807379886508,0.000577807379886508,6,5,0.009203910827636719,-0.007540702819824219,0.016744613647460938,3.725438000401482e-05,2.1593230485450476e-05,1.5661149518564343e-05,0.4412550926208496,0.4424905776977539,-0.0012354850769042969,5.645429611206055,5.654677391052246,0.441464900970459,0.4417576789855957,-0.00029277801513671875
90841,18,4.3555588722229,12,1.6373281478881836,0.010348138399422169,0.001034813839942217,11,9,0.010980606079101562,-0.011333465576171875,0.022314071655273438,3.1073785066837445e-05,4.749578874907456e-05,1.642200368223712e-05,0.41222524642944336,0.4124417304992676,-0.00021648406982421875,4.290437698364258,4.2986531257629395,0.4123549461364746,0.4124417304992676,-8.678436279296875e-05
90842,6,6.750127792358398,12,1.7191252708435059,0.00965938065201044,0.0009659380652010442,0,10,0.006827354431152344,-0.007714271545410156,0.0145416259765625,3.8226360629778355e-05,4.846567753702402e-05,1.0239316907245666e-05,0.4546689987182617,0.4534568786621094,0.0012121200561523438,5.591056823730469,5.591707706451416,0.45264148712158203,0.4537668228149414,-0.001125335693359375
90842,18,2.743759870529175,12,1.4992197751998901,0.007251407951116562,0.0007251407951116562,10,11,0.01434326171875,-0.015603065490722656,0.029946327209472656,4.43364551756531e-05,5.305264494381845e-05,8.71618976816535e-06,0.5205745697021484,0.5206222534179688,-4.76837158203125e-05,3.967513084411621,3.9740333557128906,0.520169734954834,0.519986629486084,0.00018310546875
90843,6,7.811257839202881,12,1.7788501977920532,0.013884931802749634,0.0013884931802749636,3,2,0.005260467529296875,-0.002899169921875,0.008159637451171875,3.2759788155090064e-05,3.106891017523594e-05,1.6908779798541218e-06,0.22485876083374023,0.2246537208557129,0.00020503997802734375,6.214273929595947,6.218452453613281,0.22485876083374023,0.22448396682739258,0.00037479400634765625
90843,18,5.2148966789245605,12,1.6491882801055908,0.008121904917061329,0.0008121904917061329,1,7,0.006988525390625,-0.0077190399169921875,0.014707565307617188,3.178278711857274e-05,2.6012769012595527e-05,5.770018105977215e-06,0.2227325439453125,0.22245550155639648,0.0002770423889160156,5.436298370361328,5.445924758911133,0.22217988967895508,0.22252130508422852,-0.0003414154052734375
90844,6,7.9132890701293945,12,1.7640137672424316,0.010025777854025364,0.0010025777854025363,7,0,0.005053520202636719,-0.008274078369140625,0.013327598571777344,8.628161594970152e-05,4.5948236220283434e-05,4.0333379729418084e-05,0.09966707229614258,0.10059928894042969,-0.0009322166442871094,6.659185409545898,6.658841133117676,0.10010957717895508,0.09961652755737305,0.0004930496215820312
90844,18,5.212745666503906,12,1.6844356060028076,0.015007940120995045,0.0015007940120995045,5,4,0.00926971435546875,-0.009934425354003906,0.019204139709472656,2.8694876164081506e-05,2.9935856218799017e-05,1.240980054717511e-06,0.10226249694824219,0.10296010971069336,-0.0006976127624511719,6.543361663818359,6.542251110076904,0.10296010971069336,0.10256385803222656,0.0003962516784667969
90845,6,7.510908126831055,12,1.7320259809494019,0.01236035767942667,0.001236035767942667,7,0,0.0033588409423828125,-0.008066177368164062,0.011425018310546875,3.2759788155090064e-05,3.899583316524513e-05,6.236045010155067e-06,0.32018470764160156,0.3224606513977051,-0.0022759437561035156,6.210135459899902,6.217352867126465,0.3221120834350586,0.32018470764160156,0.0019273757934570312
90845,18,3.98197603225708,12,1.6545560359954834,0.00870487093925476,0.0008704870939254761,9,8,0.013451576232910156,-0.009477615356445312,0.02292919158935547,2.2270560293691233e-05,2.9176824682508595e-05,6.9062643888173625e-06,0.47513246536254883,0.4758429527282715,-0.0007104873657226562,5.326716899871826,5.3341755867004395,0.4713296890258789,0.474545955657959,-0.003216266632080078
90846,6,6.381441593170166,12,1.6981698274612427,0.01730263978242874,0.0017302639782428742,8,1,0.013483047485351562,-0.023070335388183594,0.036553382873535156,5.368884376366623e-05,3.7213671021163464e-05,1.6475172742502764e-05,0.5475587844848633,0.5479593276977539,-0.000400543212890625,5.556650161743164,5.564347743988037,0.5488724708557129,0.5494022369384766,-0.0005297660827636719
90846,18,2.2658398151397705,12,1.3664766550064087,0.00864916481077671,0.000864916481077671,1,11,0.004212379455566406,-0.009495258331298828,0.013707637786865234,4.099690340808593e-05,3.8273919926723465e-05,2.722983481362462e-06,0.612429141998291,0.6142144203186035,-0.0017852783203125,3.888383388519287,3.900374412536621,0.612429141998291,0.6143109798431396,-0.0018818378448486328
90847,6,7.695194244384766,12,1.7184096574783325,0.011066252365708351,0.0011066252365708352,5,7,0.010512351989746094,-0.009744644165039062,0.020256996154785156,3.1954019505064934e-05,3.2555562938796356e-05,6.015434337314218e-07,0.10548210144042969,0.10368680953979492,0.0017952919006347656,6.340761661529541,6.343668460845947,0.10548210144042969,0.10460901260375977,0.0008730888366699219
90847,18,4.655971527099609,12,1.6181198358535767,0.010069282725453377,0.0010069282725453377,10,5,0.005585670471191406,-0.013937950134277344,0.01952362060546875,4.07744555559475e-05,2.4226581444963813e-05,1.6547874110983685e-05,0.016139984130859375,0.016521930694580078,-0.0003819465637207031,5.714282989501953,5.711547374725342,0.016521930694580078,0.016139984130859375,0.0003819465637207031
90848,6,6.826999664306641,12,1.741098403930664,0.010332802310585976,0.0010332802310585975,6,0,0.01618671417236328,-0.0033769607543945312,0.019563674926757812,2.346374822081998e-05,3.552996713551693e-05,1.2066218914696947e-05,0.3344740867614746,0.3343491554260254,0.00012493133544921875,5.902523994445801,5.909040927886963,0.333803653717041,0.3342719078063965,-0.00046825408935546875
90848,18,2.6449267864227295,12,1.4746627807617188,0.00652769161388278,0.000652769161388278,11,3,0.016387939453125,-0.014247894287109375,0.030635833740234375,2.0095165382372215e-05,3.506617940729484e-05,1.4971014024922624e-05,0.32550621032714844,0.3253664970397949,0.00013971328735351562,4.841368675231934,4.846062660217285,0.3260040283203125,0.3261547088623047,-0.0001506805419921875
